signature_id	signature_name	gene_symbol	gene_symbol_clean	source_reference
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	SNAI2	SNAI2	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	SNTB1	SNTB1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	SPARC	SPARC	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	SPOCK1	SPOCK1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	SPP1	SPP1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	TAGLN	TAGLN	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	TFPI2	TFPI2	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	TGFB1	TGFB1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	TGFBI	TGFBI	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	TGFBR3	TGFBR3	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	TGM2	TGM2	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	THBS1	THBS1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	THBS2	THBS2	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	THY1	THY1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	TIMP1	TIMP1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	TIMP3	TIMP3	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	TNC	TNC	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	TNFAIP3	TNFAIP3	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	TNFRSF11B	TNFRSF11B	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	TNFRSF12A	TNFRSF12A	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	TPM1	TPM1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	TPM2	TPM2	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	TPM4	TPM4	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	VCAM1	VCAM1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	VCAN	VCAN	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	VEGFA	VEGFA	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	VEGFC	VEGFC	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	VIM	VIM	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	WIPF1	WIPF1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	WNT5A	WNT5A	MSigDB Hallmark EMT
HALLMARK_HYPOXIA	Hallmark Hypoxia	ACKR3	ACKR3	MSigDB Hallmark Hypoxia
HALLMARK_HYPOXIA	Hallmark Hypoxia	ADM	ADM	MSigDB Hallmark Hypoxia
HALLMARK_HYPOXIA	Hallmark Hypoxia	ADORA2B	ADORA2B	MSigDB Hallmark Hypoxia
HALLMARK_HYPOXIA	Hallmark Hypoxia	AK4	AK4	MSigDB Hallmark Hypoxia
HALLMARK_HYPOXIA	Hallmark Hypoxia	AKAP12	AKAP12	MSigDB Hallmark Hypoxia
HALLMARK_HYPOXIA	Hallmark Hypoxia	ALDOA	ALDOA	MSigDB Hallmark Hypoxia
HALLMARK_HYPOXIA	Hallmark Hypoxia	ALDOB	ALDOB	MSigDB Hallmark Hypoxia
HALLMARK_HYPOXIA	Hallmark Hypoxia	ALDOC	ALDOC	MSigDB Hallmark Hypoxia
HALLMARK_HYPOXIA	Hallmark Hypoxia	AMPD3	AMPD3	MSigDB Hallmark Hypoxia
HALLMARK_HYPOXIA	Hallmark Hypoxia	ANGPTL4	ANGPTL4	MSigDB Hallmark Hypoxia
HALLMARK_HYPOXIA	Hallmark Hypoxia	ANKZF1	ANKZF1	MSigDB Hallmark Hypoxia
HALLMARK_HYPOXIA	Hallmark Hypoxia	ANXA2	ANXA2	MSigDB Hallmark Hypoxia
HALLMARK_HYPOXIA	Hallmark Hypoxia	ATF3	ATF3	MSigDB Hallmark Hypoxia
HALLMARK_HYPOXIA	Hallmark Hypoxia	ATP7A	ATP7A	MSigDB Hallmark Hypoxia
HALLMARK_HYPOXIA	Hallmark Hypoxia	B3GALT6	B3GALT6	MSigDB Hallmark Hypoxia
HALLMARK_HYPOXIA	Hallmark Hypoxia	B4GALNT2	B4GALNT2	MSigDB Hallmark Hypoxia
HALLMARK_HYPOXIA	Hallmark Hypoxia	BCAN	BCAN	MSigDB Hallmark Hypoxia
HALLMARK_HYPOXIA	Hallmark Hypoxia	BCL2	BCL2	MSigDB Hallmark Hypoxia
HALLMARK_HYPOXIA	Hallmark Hypoxia	BGN	BGN	MSigDB Hallmark Hypoxia
HALLMARK_HYPOXIA	Hallmark Hypoxia	BHLHE40	BHLHE40	MSigDB Hallmark Hypoxia
HALLMARK_HYPOXIA	Hallmark Hypoxia	BNIP3L	BNIP3L	MSigDB Hallmark Hypoxia
HALLMARK_HYPOXIA	Hallmark Hypoxia	BRS3	BRS3	MSigDB Hallmark Hypoxia
HALLMARK_HYPOXIA	Hallmark Hypoxia	BTG1	BTG1	MSigDB Hallmark Hypoxia
HALLMARK_HYPOXIA	Hallmark Hypoxia	CA12	CA12	MSigDB Hallmark Hypoxia
